"gene"	"entrez"	"MCF7"	"VCAP"	"MCF7_s"	"X22RV1"	"LNCAP_s"	"DU145"	"LNCAP_g"	"PC3"
"ACBD6"	84320	0.06696662	0.27343013	-0.3032864	0.1724741	0.1224102	0.2335592	0.122852892391	0.680920175627
"ACBD7"	414149	0.1548308	0.1828724	0.14457372	0.05182749	-0.0299061	-0.06198011	0.231598549208	0.510064698889
"ACCS"	84680	0.1305902	0.1578986	0.0499024	-0.02540923	-0.04910355	-0.06882461	0.260131590842	-0.0119637267743
"ACCSL"	390110	-0.09488667	0.01972443	0.04588263	0.03494999	-0.06619292	-0.0276765	0.0850612650771	-0.0630324677673
"ACD"	65057	-0.3911458	-0.3282795	0.10920005	0.15961733	-0.02044561	-0.03421363	-0.0240822378551	0.127122614929
"ACE"	1636	-0.9260894	-0.1203764	-0.0167384764	-0.15682292	0.0006843624	-0.0559944644	-0.240030172411	-0.722431864231
"ACE2"	59272	0.23977726	-0.01031861	0.218200635	0.455235073	0.226860587	-0.003289518	0.277837609475	0.433480697667
"ACER1"	125981	0.32642201	0.05168606	-0.340821	-0.1599742	-0.3504971	-0.4058181	-0.157997425166	-1.04733553334
"ACER2"	340485	0.08420464	0.09266819	-0.25183573	-0.03731454	-0.16284092	0.09050259	-0.142238278551	0.690230454977
"ACER3"	55331	0.12297164	0.03426195	0.1269069	0.02989913	0.14118929	0.25407158	0.328042420681	0.425789056708
"ACHE"	43	-0.3320006	-0.4119131	-0.25616616	-0.16904279	0.07028046	-0.1023389	-0.149561187809	-0.397807482242
"ACIN1"	22985	-0.6979929	-1.0661377	-1.0139512	-1.2247551	-0.762748	-0.6342738	0.31887572213	0.67839753693
"ACKR1"	2532	-0.1722738	0.0415035	-0.195552952	0.162382486	-0.006695296	0.142788762	-0.236497236954	-0.310431259397
"ACKR2"	1238	0.2488819	0.2441291	0.31034756	0.1303019	0.01930171	-0.0853998	0.0194360347387	0.313184014502
"ACKR3"	57007	0.02921769	0.07892256	-0.05796335	0.06836582	0.02439402	0.05269131	0.093078917059	0.407690405294
"ACKR4"	51554	-0.2681832	-0.1887339	-0.15266835	0.08608012	0.02804352	-0.08656795	0.0668289716633	0.274727526484
"ACLY"	47	-0.8308371	-1.816136	-0.5784756	-0.5083635	-0.759852	-0.574293	-0.0531303419881	0.102258514633
"ACMSD"	130013	0.0898439	0.1512998	0.002747929	0.363031436	0.045562085	0.003369907	-0.00717175577164	0.0975634896154
"ACO1"	48	0.3081871	0.1466636	-0.18529226	0.0653153	-0.22522961	0.04851712	0.00145290516962	0.046603048469
"ACO2"	50	-1.1024783	-0.6000449	-1.1920631	-0.3242111	-0.3867464	-0.8505398	-0.779323051758	-1.45778182717
"ACOD1"	730249	-0.07619289	-0.1455614	0.23078369	0.09084454	0.0446401	0.04651074	-0.185547273509	-0.333565956819
"ACOT1"	641371	0.2295575	-0.06773392	-0.06815838	-0.40309056	-0.18808989	-0.02963314	0.377997693491	0.243950314528
"ACOT11"	26027	-0.19391742	0.08225536	-0.11023842	-0.1262853	-0.06736246	-0.12366683	-0.0185350455822	-0.149603405159
"ACOT12"	134526	-0.3641438	-0.618029	-0.01982476	-0.22304865	-0.0542342	-0.18429226	0.0420889030286	0.135174483124
"ACOT13"	55856	0.1908513	-0.02334741	-0.145955332	0.145743946	0.004265693	0.017551866	-0.418797531691	-0.657871890155
"ACOT2"	10965	0.19400414	0.07085503	-0.20862138	-0.44337457	-0.30661938	-0.03038398	0.263907618638	-0.186144655912
"ACOT4"	122970	-0.4565743	-0.4576143	0.10502672	-0.23087778	0.02667159	-0.01409137	-0.0555231816694	-0.444977355262
"ACOT6"	641372	0.02196061	0.05826167	-0.088261827	0.066985634	-0.086207057	0.003094267	0.0718897345165	0.503770980366
"ACOT7"	11332	0.1820072	-0.09925542	0.1746963	0.3275491	0.1587022	0.1856141	0.152815926633	0.376550697018
"ACOT8"	10005	-0.1248598	0.1166143	0.4068699	-0.14391683	0.1539912	-0.07616848	-0.0668354706517	-0.0239719766918
"ACOT9"	23597	0.2995787	0.1298212	0.06579056	0.23034498	-0.07128996	-0.10814869	0.50337859394	0.592050674973
"ACOX1"	51	-0.1220513	-0.2503253	0.001585653	-0.247311102	-0.24553494	-0.07493367	-0.398979332636	-0.377721009784
"ACOX2"	8309	0.05692322	-0.04562524	-0.1638095	-0.2498034	-0.1147954	-0.2073607	-0.270527290577	-0.44185088023
"ACOX3"	8310	0.06714792	-0.13166975	0.2845194	0.4203245	0.1070833	0.1109277	0.150343469489	0.256202658074
"ACOXL"	55289	-0.22054496	0.05613916	-0.3418108	-0.2840363	-0.3725135	-0.1643893	0.179698185954	-0.0481158030025
"ACP1"	52	-0.04463718	0.07882298	0.1467158	0.1171369	0.1493816	0.1533185	0.118805475647	-0.0399067820347
"ACP2"	53	0.03577199	0.1911363	-0.30167289	-0.27398581	-0.05054899	-0.06912986	-0.296052362762	-0.84521338989
"ACP5"	54	0.06461914	-0.01935078	-0.26070172	0.16230786	0.05346636	0.17613312	-0.142209487208	-0.40905768718
"ACP6"	51205	-0.445118072	-0.005392273	-0.04556989	0.20464671	0.1837587	0.07491185	0.492271262294	0.789055180288
"ACP7"	390928	-0.10777149	-0.06342792	-0.2211945	0.2504617	-0.3651437	-0.3249656	-0.488452461504	-0.634447508389
"ACPP"	55	-0.1883669	-0.205762	-0.0266474	0.1066351	0.2386831	0.1410574	0.126597302645	0.279995790918
"ACR"	49	-0.03299755	-0.20265996	-0.24977942	-0.42626147	0.02512873	-0.17171633	-0.494850842441	-0.490907255075
"ACRBP"	84519	-0.1446308	-0.06012253	0.07454013	-0.17838255	0.15137175	-0.08712179	-0.261024698345	-0.203886713616
"ACRV1"	56	0.4854008	0.2268946	0.1242397	0.0312688	0.1600659	0.1833781	0.338336479259	0.709862304389
"ACSBG1"	23205	-0.006135274	0.07491795	0.51433116	0.29056687	0.27516342	0.06371931	-0.126320308973	-0.210768331447
"ACSBG2"	81616	-0.1448401	-0.2320624	-0.2781763554	0.0068597242	0.1518328361	0.0007316403	-0.133763393929	-0.0655610066847
"ACSF2"	80221	-0.104517333	0.003369983	-0.1478828	-0.1002881	-0.0599642	-0.0949375	-0.394833372095	-0.750879156332
"ACSF3"	197322	-0.11901628	0.06011754	0.3140742	0.4579196	0.414126	0.2719225	0.0779845397453	0.313796120952
"ACSL1"	2180	-0.1438486	-0.3063871	-0.01916354	0.01536353	0.06261995	-0.03069578	0.116627448547	0.254962536995
"ACSL3"	2181	-0.4235542	-0.1977013	-0.1185643	-0.1469363	-0.160777	-0.1174642	-0.65289310015	-1.58392230716
"ACSL4"	2182	-0.04652506	-0.38908952	-0.28500087	-0.03095852	-0.2116628	-0.27393174	0.0334024122653	0.375959280226
"ACSL5"	51703	0.19244372	-0.02468302	0.11743421	0.05094706	-0.0622193	-0.12681702	0.242146396924	0.436346660323
"ACSL6"	23305	0.08113486	0.11143708	0.418703435	-0.007335184	-0.007827343	-0.078263372	-0.0675582371758	0.20661951981
"ACSM1"	116285	-0.01034657	-0.09070895	-0.23375187	-0.25188417	-0.04179867	-0.17393878	-0.155671140463	-0.624493427598
"ACSM2A"	123876	0.1404663	-0.1010268	-0.03255355	0.25109591	0.07773367	0.32624712	-0.0439162067159	-0.130776035775
"ACSM2B"	348158	0.1543444	0.2168829	-0.4369743	-0.2768205	-0.109154	-0.3494531	0.186930955936	0.559033232682
"ACSM3"	6296	-0.004237899	-0.069660409	-0.06185453	-0.2163305	0.09827223	-0.03044001	-0.0316351237228	0.129656490701
"ACSM4"	341392	0.2737901	-0.1074583	0.38541811	-0.10123369	-0.04541371	-0.18224399	-0.174693409184	-0.0499273274722
"ACSM5"	54988	0.160527929	-0.004770836	-0.15208589	0.05639308	-0.10155193	-0.18055456	0.323309339969	0.675369618939
"ACSM6"	142827	-0.095395722	0.007341843	0.19990694	0.04772812	-0.02100754	0.07594161	-0.229496229218	-0.132197519949
"ACSS1"	84532	0.2126373	0.1092138	0.158554	0.3158786	0.2689943	0.1615845	0.124884300501	0.475435685678
"ACSS2"	55902	0.62915452	0.05350491	0.2221063	-0.0112544	-0.1372036	0.198255	0.15260235428	-0.126820521185
"ACSS3"	79611	0.06389733	0.14908312	-0.0834233	-0.34631482	0.04050076	0.02631628	0.110524550892	0.390827172382
"ACTA1"	58	-0.2370191	-0.1340503	0.11825279	0.06334853	0.06991928	0.09892087	0.0677562806703	0.0499270259319
"ACTA2"	59	-0.07876455	0.17746447	-0.05452463	-0.04712996	0.11089936	0.05400919	-0.207641674597	-0.437135925532
"ACTB"	60	-0.7519931	-0.5013056	-0.1329367	-0.1593207	-0.1885464	-0.2657274	-0.194486937057	-0.66342360512
"ACTBL2"	345651	0.1288081	-0.3238969	0.12180606	0.22738009	-0.01729138	-0.03396529	0.0709843939883	0.0314403883469
"ACTC1"	70	-0.09007893	-0.06697008	0.12162279	-0.13774928	-0.0744597	-0.04729623	0.0273498075735	-0.273959158225
"ACTG1"	71	-0.3134459	-0.7471232	-0.5153293	-0.5731735	-0.6794034	-0.8994214	-0.67941814797	-1.18526829106
"ACTG2"	72	0.14622781	0.03507968	0.07085423	0.04644166	-0.03128909	-0.03967096	-0.361743273117	-1.08302092122
"ACTL10"	170487	-0.01724108	0.07543497	0.3038851	0.1193254	0.1454223	0.3351546	-0.682691831136	-0.857513273238
"ACTL6A"	86	-1.401188	-1.434319	-1.4975869	-0.8958289	-1.3809746	-1.452706	-1.03579266947	-1.32073697295
